"id","userId","date","campaignId","campaignTaskId","hours","description","resultCenter","status","submittedAt","reviewedBy","reviewedAt","reviewComment","createdAt","updatedAt"
36,2,"2025-07-28",2,4,"0.5","","Todos","APROVADO","","","""2025-07-30T03:28:35.907Z""","","""2025-07-29T02:27:44.136Z""","""2025-07-30T03:28:35.458Z"""
33,2,"2025-07-28",2,3,"4","","Todos","APROVADO","","","""2025-07-30T03:28:37.167Z""","","""2025-07-29T02:26:56.064Z""","""2025-07-30T03:28:36.721Z"""
30,2,"2025-07-28",3,5,"1","","Todos","APROVADO","","","""2025-07-30T03:28:38.358Z""","Esta reunião não foi efetivada","""2025-07-28T22:29:24.691Z""","""2025-07-30T03:28:37.912Z"""
37,2,"2025-07-29",2,4,"3","","Todos","APROVADO","","","""2025-07-30T03:28:39.398Z""","","""2025-07-30T01:31:05.535Z""","""2025-07-30T03:28:38.960Z"""
38,2,"2025-07-29",2,1,"4","","Todos","APROVADO","","","""2025-07-30T03:28:40.500Z""","","""2025-07-30T01:31:05.857Z""","""2025-07-30T03:28:40.055Z"""
58,4,"2025-07-30",2,4,"4","","Todos","APROVADO","","","""2025-07-30T23:38:55.238Z""","","""2025-07-30T22:39:26.444Z""","""2025-07-30T23:38:55.279Z"""
71,2,"2025-07-30",4,6,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:51.508Z""","""2025-07-30T23:08:51.508Z"""
72,2,"2025-07-29",2,1,"6","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:51.802Z""","""2025-07-30T23:08:51.802Z"""
73,2,"2025-07-30",2,1,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:52.080Z""","""2025-07-30T23:08:52.080Z"""
74,2,"2025-07-28",2,4,"4","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:52.355Z""","""2025-07-30T23:08:52.355Z"""
75,2,"2025-07-29",2,4,"3.5","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:52.638Z""","""2025-07-30T23:08:52.638Z"""
76,2,"2025-07-30",2,4,"1","","Todos","RASCUNHO","","","","","""2025-07-30T23:08:52.916Z""","""2025-07-30T23:08:52.916Z"""
77,2,"2025-07-30",4,6,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:04.573Z""","""2025-07-30T23:09:04.573Z"""
78,2,"2025-07-28",2,1,"1","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:04.854Z""","""2025-07-30T23:09:04.854Z"""
79,2,"2025-07-29",2,1,"6","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:05.129Z""","""2025-07-30T23:09:05.129Z"""
80,2,"2025-07-30",2,1,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:05.409Z""","""2025-07-30T23:09:05.409Z"""
81,2,"2025-07-28",2,4,"4","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:05.690Z""","""2025-07-30T23:09:05.690Z"""
82,2,"2025-07-29",2,4,"3.5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:05.984Z""","""2025-07-30T23:09:05.984Z"""
83,2,"2025-07-30",2,4,"1","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:06.273Z""","""2025-07-30T23:09:06.273Z"""
84,2,"2025-07-30",4,6,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:12.070Z""","""2025-07-30T23:09:12.070Z"""
85,2,"2025-07-28",2,1,"1","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:12.353Z""","""2025-07-30T23:09:12.353Z"""
86,2,"2025-07-29",2,1,"6","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:12.629Z""","""2025-07-30T23:09:12.629Z"""
87,2,"2025-07-30",2,1,"5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:12.909Z""","""2025-07-30T23:09:12.909Z"""
88,2,"2025-07-28",2,4,"4","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:13.185Z""","""2025-07-30T23:09:13.185Z"""
89,2,"2025-07-29",2,4,"3.5","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:13.465Z""","""2025-07-30T23:09:13.465Z"""
90,2,"2025-07-30",2,4,"1","","Todos","RASCUNHO","","","","","""2025-07-30T23:09:13.745Z""","""2025-07-30T23:09:13.745Z"""
53,4,"2025-07-28",2,1,"5","","Todos","APROVADO","","","""2025-07-30T23:38:57.101Z""","","""2025-07-30T22:39:25.003Z""","""2025-07-30T23:38:57.135Z"""
64,4,"2025-07-30",3,2,"0.5","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:28.155Z""","""2025-07-30T23:38:13.405Z"""
92,3,"2025-07-30",2,3,"2","","Todos","APROVADO","","","""2025-07-31T01:15:25.254Z""","","""2025-07-31T01:12:23.648Z""","""2025-07-31T01:15:26.130Z"""
60,4,"2025-07-29",2,3,"1","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:27.011Z""","""2025-07-30T23:38:16.661Z"""
39,2,"2025-07-29",2,3,"3","","Todos","VALIDACAO","","","""2025-07-31T01:16:47.889Z""","Esta campanha já esta inativa, favor arrumar a campanha correta

-- comentário de Roberto Cappei em 31/07/2025 23:56 --
Vou ter que apagar","""2025-07-30T01:31:06.163Z""","""2025-08-01T02:56:46.499Z"""
93,3,"2025-07-30",3,5,"3","","Todos","APROVADO","","","""2025-07-31T01:15:25.256Z""","","""2025-07-31T01:12:24.153Z""","""2025-07-31T01:15:26.179Z"""
67,4,"2025-07-30",3,5,"2","","Todos","APROVADO","","","""2025-07-30T23:38:52.131Z""","","""2025-07-30T22:39:29.023Z""","""2025-07-30T23:38:52.191Z"""
70,4,"2025-07-30",4,6,"1","","Todos","APROVADO","","","""2025-07-30T23:38:53.190Z""","","""2025-07-30T22:39:29.873Z""","""2025-07-30T23:38:53.231Z"""
54,4,"2025-07-29",2,1,"3","","Todos","APROVADO","","","""2025-07-30T23:38:58.379Z""","","""2025-07-30T22:39:25.298Z""","""2025-07-30T23:38:58.422Z"""
52,3,"2025-07-30",4,6,"3","","Todos","APROVADO","","","""2025-07-30T23:39:03.095Z""","","""2025-07-30T22:34:15.685Z""","""2025-07-30T23:39:03.135Z"""
40,2,"2025-07-29",2,4,"3","","Todos","APROVADO","","","""2025-07-30T23:39:08.293Z""","","""2025-07-30T01:31:09.612Z""","""2025-07-30T23:39:08.328Z"""
41,2,"2025-07-29",2,1,"4","","Todos","APROVADO","","","""2025-07-30T23:39:09.718Z""","","""2025-07-30T01:31:09.924Z""","""2025-07-30T23:39:09.752Z"""
48,3,"2025-07-30",3,2,"1","","Todos","APROVADO","","","""2025-07-31T01:15:25.256Z""","","""2025-07-30T22:34:14.527Z""","""2025-07-31T01:15:26.183Z"""
57,4,"2025-07-29",2,4,"3","","Todos","APROVADO","","","""2025-07-31T01:51:46.387Z""","","""2025-07-30T22:39:26.151Z""","""2025-07-31T01:51:46.580Z"""
55,4,"2025-07-30",2,1,"1.5","","Todos","APROVADO","","","""2025-08-01T23:52:07.881Z""","","""2025-07-30T22:39:25.584Z""","""2025-08-01T23:52:08.931Z"""
94,3,"2025-07-30",4,6,"1","","Todos","APROVADO","","","""2025-07-31T01:14:58.382Z""","","""2025-07-31T01:12:24.668Z""","""2025-07-31T01:14:58.807Z"""
47,3,"2025-07-29",3,2,"0.5","","Todos","APROVADO","","","""2025-07-31T01:15:25.255Z""","","""2025-07-30T22:34:14.238Z""","""2025-07-31T01:15:25.917Z"""
49,3,"2025-07-30",3,5,"3","","Todos","APROVADO","","","""2025-07-31T01:15:25.254Z""","","""2025-07-30T22:34:14.823Z""","""2025-07-31T01:15:26.007Z"""
91,3,"2025-07-30",2,1,"1","","Todos","APROVADO","","","""2025-07-31T01:15:25.255Z""","","""2025-07-31T01:12:23.102Z""","""2025-07-31T01:15:26.024Z"""
43,3,"2025-07-28",2,1,"1","","Todos","APROVADO","","","""2025-07-31T01:15:25.257Z""","","""2025-07-30T22:34:13.072Z""","""2025-07-31T01:15:26.031Z"""
50,3,"2025-07-28",4,6,"4","","Todos","APROVADO","","","""2025-07-31T01:15:25.256Z""","","""2025-07-30T22:34:15.110Z""","""2025-07-31T01:15:26.124Z"""
97,3,"2025-07-31",2,1,"3","","Todos","VALIDACAO","","","","","""2025-07-31T18:18:02.449Z""","""2025-07-31T18:18:11.766Z"""
96,3,"2025-07-31",4,6,"1","","Todos","VALIDACAO","","","","","""2025-07-31T18:18:01.974Z""","""2025-07-31T18:18:11.786Z"""
63,4,"2025-07-29",3,2,"0.5","","Todos","APROVADO","","","""2025-08-01T23:52:09.446Z""","","""2025-07-30T22:39:27.869Z""","""2025-08-01T23:52:10.494Z"""
102,4,"2025-07-31",4,6,"0.5","","Todos","RASCUNHO","","","","","""2025-07-31T23:44:12.380Z""","""2025-07-31T23:44:12.380Z"""
103,4,"2025-07-31",4,6,"0.5","","Todos","VALIDACAO","","","","","""2025-07-31T23:44:13.988Z""","""2025-07-31T23:44:13.988Z"""
61,4,"2025-07-30",2,3,"0.5","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:27.297Z""","""2025-07-31T23:44:17.880Z"""
66,4,"2025-07-29",3,5,"1.5","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:28.735Z""","""2025-07-31T23:44:17.920Z"""
69,4,"2025-07-29",4,6,"1","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:29.594Z""","""2025-07-31T23:44:17.930Z"""
100,3,"2025-07-31",3,5,"1","","Todos","RASCUNHO","","","""2025-08-02T00:30:55.057Z""","","""2025-07-31T21:54:55.223Z""","""2025-08-02T00:30:56.145Z"""
68,4,"2025-07-28",4,6,"1","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:29.308Z""","""2025-07-31T23:44:18.185Z"""
62,4,"2025-07-28",3,2,"0.5","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:27.581Z""","""2025-07-31T23:44:18.224Z"""
65,4,"2025-07-28",3,5,"2","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:28.444Z""","""2025-07-31T23:44:18.246Z"""
59,4,"2025-07-28",2,3,"1","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:26.727Z""","""2025-07-31T23:44:18.264Z"""
56,4,"2025-07-28",2,4,"1","","Todos","VALIDACAO","","","","","""2025-07-30T22:39:25.868Z""","""2025-07-31T23:44:18.281Z"""
42,2,"2025-07-29",2,3,"1","Teste 2","Todos","APROVADO","","","""2025-08-01T02:11:23.800Z""","","""2025-07-30T01:31:10.223Z""","""2025-08-01T02:22:59.067Z"""
98,3,"2025-07-31",3,5,"4","","Todos","VALIDACAO","","","""2025-08-01T19:29:47.852Z""","TESTE DE COMENTARIO","""2025-07-31T18:18:02.905Z""","""2025-08-01T19:33:54.947Z"""
105,3,"2025-08-01",2,1,"2","","Todos","APROVADO","","","""2025-08-01T19:52:01.944Z""","","""2025-08-01T19:49:25.735Z""","""2025-08-01T19:52:02.942Z"""
104,3,"2025-08-01",2,4,"2","","Todos","APROVADO","","","""2025-08-01T19:52:04.148Z""","","""2025-08-01T19:49:25.418Z""","""2025-08-01T19:52:05.083Z"""
107,4,"2025-07-28",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:33.528Z""","""2025-08-01T21:55:33.528Z"""
108,4,"2025-07-29",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:34.137Z""","""2025-08-01T21:55:34.137Z"""
109,4,"2025-07-30",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:34.668Z""","""2025-08-01T21:55:34.668Z"""
110,4,"2025-07-31",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:35.136Z""","""2025-08-01T21:55:35.136Z"""
111,4,"2025-08-01",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:35.590Z""","""2025-08-01T21:55:35.590Z"""
112,4,"2025-08-02",2,3,"8","","Todos","RASCUNHO","","","","","""2025-08-01T21:55:36.075Z""","""2025-08-01T21:55:36.075Z"""
113,4,"2025-07-28",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:49.312Z""","""2025-08-01T21:55:49.312Z"""
114,4,"2025-07-29",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:49.745Z""","""2025-08-01T21:55:49.745Z"""
115,4,"2025-07-30",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:50.216Z""","""2025-08-01T21:55:50.216Z"""
116,4,"2025-07-31",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:50.683Z""","""2025-08-01T21:55:50.683Z"""
117,4,"2025-08-01",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:51.227Z""","""2025-08-01T21:55:51.227Z"""
118,4,"2025-08-02",2,3,"8","","Todos","VALIDACAO","","","","","""2025-08-01T21:55:51.770Z""","""2025-08-01T21:55:51.770Z"""
106,3,"2025-08-01",3,5,"3","","Todos","VALIDACAO","","","""2025-08-01T20:42:42.170Z""","Comentário 2","""2025-08-01T19:49:26.015Z""","""2025-08-01T23:18:53.598Z"""
120,1,"2025-08-11",3,5,"1","","Todos","VALIDACAO","","","","","""2025-08-15T19:50:34.150Z""","""2025-08-15T19:52:07.650Z"""
119,1,"2025-08-11",2,4,"0.5","erfsdfsd","Todos","APROVADO","","","""2025-08-15T19:54:22.525Z""","","""2025-08-15T19:50:33.693Z""","""2025-08-15T19:55:14.579Z"""
